price;region;address;bedrooms;bathrooms;location;latitude;longitude
799000;Ajax, ON;2 ROLLO DR, Ajax, Ontario;3;3;2, Rollo Drive, Southwood, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 7N6, Canada;43.8368679;-79.0041724
989000;Ajax, ON;717 OLD HARWOOD AVE, Ajax, Ontario;2;1;717, Old Harwood Avenue, Applecroft, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 1H1, Canada;43.87375051609075;-79.0310084534809
999900;Ajax, ON;52 ADDLEY CRES, Ajax, Ontario;3;4;52, Addley Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 1P0, Canada;43.86147309608829;-79.04231131634916
799900;Ajax, ON;249 MONARCH AVE, Ajax, Ontario;3;3;249, Monarch Avenue, Downtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1P5, Canada;43.84402622067874;-79.0255058466487
899999;Ajax, ON;18 MONK CRES, Ajax, Ontario;3;3;18, Monk Crescent, Applecroft, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 1K1, Canada;43.87237031489674;-79.02525457930193
1199000;Ajax, ON;4 SALLIS DR, Ajax, Ontario;4;3;4, Sallis Drive, Pickering Beach, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0E7, Canada;43.83342460698066;-78.99337197042044
1088000;Ajax, ON;899 FINLEY AVE, Ajax, Ontario;3;3;899, Finley Avenue, Discovery Bay, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 4X1, Canada;43.8233343;-79.0259482
633000;Ajax, ON;#502 -92 CHURCH ST S, Ajax, Ontario;2;2;Church Street South, Pickering Village, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 6B3, Canada;43.8505196;-79.0536031
1199000;Ajax, ON;4 STOCKBRIDGE CRES, Ajax, Ontario;3;3;4, Stockbridge Crescent, Westney Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1T 1X5, Canada;43.86348205246536;-79.04402677512041
899000;Ajax, ON;57 CULLCASTLE ST, Ajax, Ontario;3;3;Cullcastle Street, Downtown, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 7K0, Canada;43.8437333;-79.0221692
999900;Ajax, ON;11 BOOKER DR, Ajax, Ontario;3;3;11, Booker Drive, Salem Heights, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0G7, Canada;43.8972787565365;-79.02640363812013
999900;Ajax, ON;14 TILLER ST, Ajax, Ontario;3;3;14, Tiller Street, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.89979024545455;-79.01131303636363
999900;Ajax, ON;14 TILLER Street, Ajax, Ontario;3;3;14, Tiller Street, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.89979024545455;-79.01131303636363
938800;Ajax, ON;93 CARPENDALE CRES, Ajax, Ontario;3;3;93, Carpendale Crescent, Audley North, Ajax, Durham Region, Golden Horseshoe, Ontario, L1Z 0H6, Canada;43.895510514598406;-79.00977103595422
